Time,Personen (wifi),Out
2021-01-15 13:45:00,11,13
2021-01-15 14:00:00,16,9.3
2021-01-15 14:15:00,13,9.3
2021-01-15 14:30:00,15,8.3
2021-01-15 14:45:00,14,8.7
2021-01-15 15:00:00,12,8.3
2021-01-15 15:15:00,9.3,9.7
2021-01-15 15:30:00,10,9
2021-01-15 15:45:00,9.3,10
2021-01-15 16:00:00,7.3,10
2021-01-15 16:15:00,8.3,6.3
2021-01-15 16:30:00,14,11
2021-01-15 16:45:00,10,9.7
2021-01-15 17:00:00,11,8.7
2021-01-15 17:15:00,9.3,7.3
2021-01-15 17:30:00,10,9.3
2021-01-15 17:45:00,9.7,11
2021-01-15 18:00:00,11,11
2021-01-15 18:15:00,10,10
2021-01-15 18:30:00,8.3,10
2021-01-15 18:45:00,7.3,9.7
2021-01-15 19:00:00,7.7,8
2021-01-15 19:15:00,7.7,10
2021-01-15 19:30:00,7.7,7.7
2021-01-15 19:45:00,7.7,8
2021-01-15 20:00:00,6.3,9.7
2021-01-15 20:15:00,7.3,7
2021-01-15 20:30:00,7,6.3
2021-01-15 20:45:00,10,8.3
2021-01-15 21:00:00,6.3,6.7
2021-01-15 21:15:00,5.3,6.7
2021-01-15 21:30:00,5,7
2021-01-15 21:45:00,5.7,5.7
2021-01-15 22:00:00,4.3,7
2021-01-15 22:15:00,4.7,6.3
2021-01-15 22:30:00,5,5.7
2021-01-15 22:45:00,6,6.3
2021-01-15 23:00:00,5.7,5.3
2021-01-15 23:15:00,7.3,4
2021-01-15 23:30:00,5,3.3
2021-01-15 23:45:00,4,6
2021-01-16 00:00:00,4,2.7
2021-01-16 00:15:00,3.3,3.3
2021-01-16 00:30:00,5,3.7
2021-01-16 00:45:00,4.3,2.7
2021-01-16 01:00:00,3.3,3.3
2021-01-16 01:15:00,3,3
2021-01-16 01:30:00,3.3,3.7
2021-01-16 01:45:00,3.7,4.3
2021-01-16 02:00:00,4,4.3
2021-01-16 02:15:00,2.3,4.7
2021-01-16 02:30:00,2.7,5
2021-01-16 02:45:00,3.3,6.7
2021-01-16 03:00:00,3,4.3
2021-01-16 03:15:00,3.3,6.3
2021-01-16 03:30:00,3.7,4.7
2021-01-16 03:45:00,3.7,5.3
2021-01-16 04:00:00,2.7,4.3
2021-01-16 04:15:00,4.7,3.7
2021-01-16 04:30:00,2.7,5
2021-01-16 04:45:00,4.3,4
2021-01-16 05:00:00,3,4
2021-01-16 05:15:00,3,4
2021-01-16 05:30:00,2.7,3.3
2021-01-16 05:45:00,4,3.7
2021-01-16 06:00:00,3,3.3
2021-01-16 06:15:00,4,3.7
2021-01-16 06:30:00,2.7,3.3
2021-01-16 06:45:00,3.3,4
2021-01-16 07:00:00,3.7,4
2021-01-16 07:15:00,2.3,3.3
2021-01-16 07:30:00,1.3,4.3
2021-01-16 07:45:00,1.7,4.7
